,game_date,team_id_x,game_id,ilkid
0,1996-11-01,ATL,29600005,"['LAETTCH01', 'BLAYLMO01', 'BARRYJO01', 'NORMAKE01', 'CORBITY01', 'MUTOMDI01']"
1,1996-11-01,BOS,29600001,"['FOXRI01', 'WESLEDA01', 'ELLISPE01', 'WILLIER01', 'BRICKFR01', 'SZABOBR01', 'BARRODA01', 'WALKEAN01', 'DAYTO01']"
2,1996-11-01,CHI,29600001,"['BROWNRA01', 'JORDAMI01', 'RODMADE01', 'BUECHJU01', 'SIMPKDI01', 'HARPERO01', 'LONGLLU01', 'PIPPESC01', 'KUKOCTO01', 'PARISRO01', 'WENNIBI01']"
3,1996-11-01,CLE,29600002,"['GEARYRE01', 'THOMACA01', 'POTAPVI01', 'LANGAN02', 'HILLTY01', 'SURABO01', 'MARSHDO02', 'MILLSCH01', 'FERRYDA01', 'BRANDTE01']"
4,1996-11-01,DAL,29600010,"['HARPEDE01', 'DUMASTO01', 'GATLICH01', 'KIDDJA01', 'MILLEOL01', 'JACKSJI01', 'MONTRER01', 'ROBERFR01', 'MASHBJA01', 'MCCLOGE01']"
5,1996-11-01,DEN,29600010,"['JACKSMA01', 'MARCISA01', 'STITHBR01', 'MCDYEAN01', 'ELLISDA01', 'ELLISLA01', 'PIERCRI01']"
6,1996-11-01,GSW,29600013,"['SPREWLA01', 'PRICEMA01', 'SMITHJO01', 'OWESRA01', 'DECLEAN01', 'COLESBI01', 'MULLICH01', 'ARMSTBJ01', 'ROZIECL01', 'FULLETO02']"
7,1996-11-01,HOU,29600009,"['ELIEMA01', 'MALONMA01', 'LIVINRA01', 'MOORETR01', 'MACKSA01', 'BULLAMA01', 'DREXLCL01', 'OLAJUHA01', 'DAVISEM01', 'WILLIKE01']"
8,1996-11-01,LAC,29600013,"['MURRALA01', 'MARTIDA01', 'RICHAPO01', 'VAUGHLO01', 'DEHERTE01', 'DUCKWKE01', 'ROBERST01', 'SEALYMA01', 'OUTLABO01']"
9,1996-11-01,LAL,29600012,"['ROBINRU01', 'JONESED01', 'SCOTTBY01', 'VANEXNI01', 'FISHEDE01', 'KNIGHTR01', 'ONEASH01', 'BLOUNCO01', 'CAMPBEL01']"
10,1996-11-01,MIA,29600005,"['HARDATI01', 'MOURNAL01', 'THOMAKU01', 'MAJERDA01', 'BROWNPJ01']"
11,1996-11-01,MIL,29600003,"['ROBINGL01', 'LANGAN01', 'PERRYEL01', 'DOUGLSH01', 'GILLIAR01', 'BAKERVI01', 'WOODDA01', 'NEWMAJO01', 'HANCODA01']"
12,1996-11-01,MIN,29600008,"['MARBUST01', 'GUGLITO01', 'MITCHSA01', 'CARRCH01', 'WESTDO01', 'GARNEKE01', 'PARKSCH01', 'ROBINJA03', 'PORTETE01']"
13,1996-11-01,NJN,29600002,"['MCDANXA01', 'REEVEKH01', 'MASSETO01', 'WILLIJA01', 'ASKEWVI01', 'GILLKE01', 'KITTLKE01', 'OBANED01', 'BRADLSH01', 'PACKRO01']"
14,1996-11-01,NYK,29600006,"['BROOKSC01', 'STARKJO01', 'WARDCH01', 'HOUSTAL01', 'WALLAJO01', 'JOHNSLA01', 'WILLIBU01', 'WILLIHE01']"
15,1996-11-01,ORL,29600004,"['HARDAAN01', 'SHAWBR01', 'WILKIGE01', 'ANDERNI01', 'SPENCFE01', 'ROYALDO01', 'ARMSTDA01', 'VAUGHDA02', 'STRONDE01']"
16,1996-11-01,PHI,29600003,"['CAGEMI01', 'COLEMDE01', 'WILLISC01', 'MACLEDO01', 'HARRILU01', 'IVERSAL01', 'OVERTDO01', 'DAVISMA01', 'STACKJE01']"
17,1996-11-01,PHX,29600012,"['FINLEMI01', 'MANNIDA01', 'TISDAWA01', 'PERSOWE01', 'CHAPMRE01', 'GREENAC01', 'NASHST01', 'HORRYRO01', 'KLEINJO01']"
18,1996-11-01,SAC,29600009,"['SMITHMI01', 'GRANTBR01', 'WILLICO02', 'SIMMOLI01', 'EDNEYTY01', 'RICHMMI01', 'CAUSWDU01']"
19,1996-11-01,SAS,29600008,"['HERRECA01', 'MAXWEVE01', 'ELLIOSE01', 'JOHNSAV01', 'WILLIMO01', 'WILKIDO01', 'ALEXACO01', 'SMITHCH01']"
20,1996-11-01,SEA,29600011,"['HAWKIHE01', 'MCILVJI01', 'KEMPSH01', 'PAYTOGA01', 'MCMILNA01', 'SCHREDE01', 'EHLOCR01']"
21,1996-11-01,TOR,29600006,"['WILLIWA01', 'TABAKZA01', 'CHRISDO01', 'DAVISHU01', 'WHITEDO01', 'JONESPO01', 'CAMBYMA01', 'WRIGHSH01']"
22,1996-11-01,UTA,29600011,"['THOMPBR01', 'MORRICH01', 'CARRAN01', 'KEEFEAD01', 'ANDERSH01', 'EISLEHO01', 'STOCKJO01', 'FOSTEGR01', 'RUSSEBR01', 'OSTERGR01', 'MALONKA01']"
23,1996-11-01,WAS,29600004,"['WEBBECH01', 'STRICRO01', 'WHITNCH01', 'JACKSJA01', 'MURRATR01', 'CHEANCA01', 'HOWARJU01', 'GRANTHA01']"
24,1996-11-02,ATL,29600017,"['LAETTCH01', 'BLAYLMO01', 'LAUDEPR01', 'BARRYJO01', 'NORMAKE01', 'CORBITY01', 'MUTOMDI01']"
25,1996-11-02,BOS,29600020,"['FOXRI01', 'CONLOMA01', 'ELLISPE01', 'WILLIER01', 'BRICKFR01', 'BARRODA01', 'WALKEAN01', 'DAYTO01', 'RADJADI01', 'SZABOBR01']"
26,1996-11-02,CHH,29600016,"['GOLDWAN01', 'DIVACVL01', 'BURRESC01', 'ZIDEKGE01', 'CURRYDE01', 'ROSEMA01', 'BOGUEMU01', 'MASONAN01', 'GEIGEMA01']"
27,1996-11-02,CHI,29600019,"['BROWNRA01', 'JORDAMI01', 'RODMADE01', 'BUECHJU01', 'SIMPKDI01', 'HARPERO01', 'LONGLLU01', 'PIPPESC01', 'KUKOCTO01', 'WENNIBI01']"
28,1996-11-02,CLE,29600015,"['THOMACA01', 'GEARYRE01', 'POTAPVI01', 'HILLTY01', 'SURABO01', 'MARSHDO02', 'MILLSCH01', 'FERRYDA01', 'BRANDTE01']"
29,1996-11-02,DAL,29600021,"['HARPEDE01', 'DUMASTO01', 'STRICER01', 'GATLICH01', 'KIDDJA01', 'MILLEOL01', 'JACKSJI01', 'MONTRER01', 'MASHBJA01', 'MCCLOGE01']"
30,1996-11-02,DET,29600017,"['WILLIJE01', 'CURRYMI01', 'AUGMOST01', 'HUNTELI01', 'MILLSTE01', 'HILLGR01', 'THORPOT01']"
31,1996-11-02,HOU,29600022,"['ELIEMA01', 'MALONMA01', 'LIVINRA01', 'MOORETR01', 'BULLAMA01', 'DREXLCL01', 'BARKLCH01', 'OLAJUHA01', 'DAVISEM01', 'WILLIKE01']"
32,1996-11-02,IND,29600018,"['DAVISDA01', 'WORKMHA01', 'SCOTTBR01', 'WILLIRE01', 'BESTTR01', 'MCKEYDE01', 'DAVISAN01', 'ROSEJA01']"
33,1996-11-02,LAC,29600023,"['MURRALA01', 'MARTIDA01', 'RICHAPO01', 'VAUGHLO01', 'DEHERTE01', 'DUCKWKE01', 'OUTLABO01', 'ROBERST01', 'SEALYMA01', 'PIATKER01']"
34,1996-11-02,MIA,29600018,"['HARDATI01', 'MOURNAL01', 'THOMAKU01', 'MAJERDA01', 'BROWNPJ01']"
35,1996-11-02,MIL,29600020,"['ROBINGL01', 'LANGAN01', 'PERRYEL01', 'DOUGLSH01', 'GILLIAR01', 'BAKERVI01', 'NEWMAJO01', 'HANCODA01', 'RESPESH01', 'WOODDA01']"
36,1996-11-02,PHI,29600019,"['WALTERE01', 'CAGEMI01', 'COLEMDE01', 'WILLISC01', 'MACLEDO01', 'HARRILU01', 'IVERSAL01', 'OVERTDO01', 'DAVISMA01', 'STACKJE01']"
37,1996-11-02,PHX,29600022,"['FINLEMI01', 'MANNIDA01', 'TISDAWA01', 'PERSOWE01', 'CHAPMRE01', 'GREENAC01', 'NASHST01', 'HORRYRO01']"
38,1996-11-02,POR,29600024,"['MCKIEAA01', 'RIDERIS01', 'TRENTGA01', 'CHILDRA01', 'JORDARE01', 'BUTLEMI01', 'ROBINCL02', 'WALLARA01', 'SABONAR01', 'ANDERKE02']"
39,1996-11-02,SAC,29600021,"['SMITHMI01', 'GAMBLKE01', 'HURLEBO01', 'GRANTBR01', 'WILLICO02', 'EDNEYTY01', 'RICHMMI01', 'CAUSWDU01']"
40,1996-11-02,SEA,29600024,"['WINGADA01', 'SNOWER01', 'HAWKIHE01', 'MCILVJI01', 'KEMPSH01', 'PAYTOGA01', 'MCMILNA01', 'SCHREDE01', 'EHLOCR01', 'SPENCEL01']"
41,1996-11-02,TOR,29600016,"['WILLIWA01', 'TABAKZA01', 'CHRISDO01', 'DAVISHU01', 'WHITEDO01', 'BENJABE01', 'JONESPO01', 'CAMBYMA01', 'WRIGHSH01']"
42,1996-11-02,UTA,29600023,"['MORRICH01', 'CARRAN01', 'KEEFEAD01', 'ANDERSH01', 'EISLEHO01', 'STOCKJO01', 'FOSTEGR01', 'RUSSEBR01', 'OSTERGR01', 'MALONKA01']"
43,1996-11-02,WAS,29600015,"['WEBBECH01', 'STRICRO01', 'WHITNCH01', 'JACKSJA01', 'MURRATR01', 'CHEANCA01', 'HOWARJU01', 'GRANTHA01']"
44,1996-11-03,CHH,29600025,"['DIVACVL01', 'GOLDWAN01', 'BURRESC01', 'ZIDEKGE01', 'CURRYDE01', 'ROSEMA01', 'BOGUEMU01', 'MASONAN01', 'GEIGEMA01', 'DELKTO01']"
45,1996-11-03,DEN,29600026,"['JACKSMA01', 'MARCISA01', 'HAMMOTO01', 'STITHBR01', 'MCDYEAN01', 'HAMDA01', 'ELLISDA01', 'ELLISLA01', 'PIERCRI01']"
46,1996-11-03,GSW,29600028,"['MARSHDO01', 'SPREWLA01', 'PRICEMA01', 'OWESRA01', 'COLESBI01', 'MULLICH01', 'ARMSTBJ01', 'FULLETO02']"
